id,season,first,last,g_lg,1a_lg,2a_lg,pts_lg,g_ucl,1a_ucl,2a_ucl,pts_ucl,g_uel,1a_uel,2a_uel,pts_uel,g_cup,1a_cup,2a_cup,pts_cup,g_scup,1a_scup,2a_scup,pts_scup,g_uelq,1a_uelq,2a_uelq,pts_uelq,g_all,1a_all,2a_all,pts_all
passlack,2017-18,Felix,Passlack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
philipp,2017-18,Maximilian,Philipp,9,3,1,13,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,9,5,2,16
piszczek,2017-18,Łukasz,Piszczek,0,4,3,7,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
pulisic,2017-18,Christian,Pulisic,5,6,5,16,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,6,7,5,18
reus,2017-18,Marco,Reus,7,0,1,8,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,10
rode,2017-18,Sebastian,Rode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
sahin,2017-18,Nuri,Şahin,3,4,1,8,0,0,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,4,5,12
sancho,2017-18,Jadon,Sancho,1,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,6
schmelzer,2017-18,Marcel,Schmelzer,0,1,1,2,0,1,1,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,3,6
schurrle,2017-18,André,Schürrle,1,6,0,7,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1,10
subotic,2017-18,Neven,Subotić,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
toljan,2017-18,Jeremy,Toljan,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3
toprak,2017-18,Ömer,Toprak,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
weidenfeller,2017-18,Roman,Weidenfeller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weigl,2017-18,Julian,Weigl,1,0,3,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5
yarmolenko,2017-18,Andriy,Yarmolenko,3,5,4,12,1,1,0,2,0,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,6,6,6,18
zagadou,2017-18,Dan-Axel,Zagadou,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
